2026-04-14 22:49:20 - INFO: ['1', 'ArsenalArsenal', 'ArsenalArsenal', '32', '21', '7', '4', '62-24', '+38', '70', 'WWWWL']
2026-04-14 22:49:20 - INFO: ['2', 'Manchester CityMan City', 'Manchester CityMan City', '31', '19', '7', '5', '63-28', '+35', '64', 'WWDDW']
2026-04-14 22:49:20 - INFO: ['3', 'Manchester UnitedMan United', 'Manchester UnitedMan United', '32', '15', '10', '7', '57-45', '+12', '55', 'WLWDL']
2026-04-14 22:49:20 - INFO: ['4', 'Aston VillaAston Villa', 'Aston VillaAston Villa', '32', '16', '7', '9', '43-38', '+5', '55', 'LLLWD']
2026-04-14 22:49:20 - INFO: ['5', 'LiverpoolLiverpool', 'LiverpoolLiverpool', '32', '15', '7', '10', '52-42', '+10', '52', 'WLDLW']
2026-04-14 22:49:20 - INFO: ['6', 'ChelseaChelsea', 'ChelseaChelsea', '32', '13', '9', '10', '53-41', '+12', '48', 'LWLLL']
2026-04-14 22:49:20 - INFO: ['7', 'BrentfordBrentford', 'BrentfordBrentford', '32', '13', '8', '11', '48-44', '+4', '47', 'WDDDD']
2026-04-14 22:49:20 - INFO: ['8', 'EvertonEverton', 'EvertonEverton', '32', '13', '8', '11', '39-37', '+2', '47', 'WWLWD']
2026-04-14 22:49:20 - INFO: ['9', 'Brighton & Hove AlbionBrighton', 'Brighton & Hove AlbionBrighton', '32', '12', '10', '10', '43-37', '+6', '46', 'WLWWW']
2026-04-14 22:49:20 - INFO: ['10', 'SunderlandSunderland', 'SunderlandSunderland', '32', '12', '10', '10', '33-36', '-3', '46', 'DWLWW']
2026-04-14 22:49:20 - INFO: ['11', 'AFC BournemouthBournemouth', 'AFC BournemouthBournemouth', '32', '10', '15', '7', '48-49', '-1', '45', 'DDDDW']
2026-04-14 22:49:20 - INFO: ['12', 'FulhamFulham', 'FulhamFulham', '32', '13', '5', '14', '43-46', '-3', '44', 'WLDWL']
2026-04-14 22:49:20 - INFO: ['13', 'Crystal PalaceCrystal Palace', 'Crystal PalaceCrystal Palace', '31', '11', '9', '11', '35-36', '-1', '42', 'WLWDW']
2026-04-14 22:49:20 - INFO: ['14', 'Newcastle UnitedNewcastle', 'Newcastle UnitedNewcastle', '32', '12', '6', '14', '45-47', '-2', '42', 'LWWLL']
2026-04-14 22:49:20 - INFO: ['15', 'Leeds UnitedLeeds', 'Leeds UnitedLeeds', '32', '8', '12', '12', '39-49', '-10', '36', 'LLDDW']
2026-04-14 22:49:20 - INFO: ['16', 'Nottingham ForestNottm Forest', 'Nottingham ForestNottm Forest', '32', '8', '9', '15', '32-44', '-12', '33', 'LDDWD']
2026-04-14 22:49:20 - INFO: ['17', 'West Ham UnitedWest Ham', 'West Ham UnitedWest Ham', '32', '8', '8', '16', '40-57', '-17', '32', 'LWDLW']
2026-04-14 22:49:20 - INFO: ['18', 'Tottenham HotspurTottenham', 'Tottenham HotspurTottenham', '32', '7', '9', '16', '40-51', '-11', '30', 'LLDLL']
2026-04-14 22:49:20 - INFO: ['19', 'BurnleyBurnley', 'BurnleyBurnley', '32', '4', '8', '20', '33-63', '-30', '20', 'LLDLL']
2026-04-14 22:49:20 - INFO: ['20', 'Wolverhampton WanderersWolves', 'Wolverhampton WanderersWolves', '32', '3', '8', '21', '24-58', '-34', '17', 'LWWDL']
